Supergroup,Group,Object name,Object ID number,Quantity,Part number,Serial number,Donor/Lender/Vendor/Transfer Party,Acquisition method,Object lot ID,DGS paid,Transfer date,Delivery date,Current location,Accessioned?,ITAR status,ITAR code,Owned by/Loaned to,Item value,Insurance value,Insurance method,Notes
"Donations from private sources","Flapping Wings","Harvard Robobee","2015.01.01","1","","","Harvard Microrobotics Laboratory","","","","2015 January 9","2015 April 30","CSC -> WAB -> garage -> Upjohn -> row I -> column I1 -> shelf I1.C","","no","","Foundation","$ 1,000.00","","","There are 3 parts to this object: (1) aircraft, (2) power and communications tether, and (3) power cord connector.

The cord has four wires, each attached to one prong of the connector, which interfaces with the offboard computer and power source.

On Sep 9, 2016, the Robobee was moved from Ken's office to the Upjohn Room, shelf I1.C"
"","Bell Helicopter","Bell 47G-5 police helicopter","1988.26.001","1","","7926","Los Angeles Police Department","gift","Bell helicopter donation","","1988 July 18","1988 August 30","CSC -> Air and Space bldg -> 3rd floor","yes","no","","Foundation","$ 75,000.00","$ 75,000.00","Foundation",""
"","Orion Sounding Rocket","Orion Sounding Rocket","2015.99.02","1","","","NASA Wallops Island","loan","Orion sounding rocket","","","","CSC -> Phase I -> 2nd floor -> SKETCH gallery","","","","Foundation","$ 75,000.00","$ 75,000.00","Foundation",""
"","","Endeavour Vertical Stack: ET, SRBs, Orbiter","2015.99.16","0","","","","","","","","","CSC -> SO Pavilion","","","","","","","",""
"","","Middeck Lockers","2015.99.18","2","","","","","","","","","CSC -> Phase II -> 4th floor -> Exhibit Development small TV storage room (465)","","","","","$ 499,400.00","","","there is a loose bracket wrapped in plastic (stored inside locker); some of these lockers are also installed inside Endeavour"
"","","Gantry Owl","2015.99.20","0","","","","","","","","","CSC -> WAB -> garage -> Upjohn -> row I -> column I2 -> shelf I2.D;   CSC -> WAB -> garage -> Upjohn -> row I -> column I3 -> shelf I3.D","","","","","","","",""
"","","Emergency Egress Slidewire Baskets (2)","2015.99.22","0","","","","","","","","","CSC -> Air and Space bldg","","","","","$ 100,000.00","","",""
"","","Internal B Hatch (flown)","2015.99.23","0","","","","","","","","","CSC -> Air and Space bldg","","","","","","","",""
"","","TSA tools","2015.99.26","0","","","","","","","","","","","","","","","","","not yet acquired"
"","","Hold-down nut, exploded (SRB)","2015.99.27","23","","","","","","","","","CSC -> Phase II -> 4th floor -> Dennis Jenkins' office","","","","","","","","Variable for display;
2 large pieces, with 21 smaller shards"
"","","potty filter","2015.99.32i","1","","","","","","","","","","","","","","","","","storage location is unknown as of 2017 Jun 8"
"","","Flight deck toggle switches","2015.99.33","0","","","","","","","","","CSC -> WAB -> garage -> Upjohn -> row I -> column I2 -> shelf I2.D","","","","","","","",""
"","","Aft attach nut (OV-ET)","2015.99.37","0","","","","","","","","","CSC -> Phase II -> 4th floor -> Dennis Jenkins' office","","","","","","","","Length: Nut: 5 3/8"" diameter   Bolt: 3.75"" diameter
Height: ""Nut: 6 1/8"""" high   Bolt: 14.25"""" high""

Location: Status TBD. Dennis has some in his office, but they may be needed to assemble stack."
"","","Aft attach nut - exploded (OV-ET)","2015.99.38","0","","","","","","","","","CSC -> Phase II -> 4th floor -> Dennis Jenkins' office","","","","","$ 2,000.00","","","Aft attach nut is high but spread out since it is exploded."
"","","Arrowhead","2015.99.40","0","","","","","","","","","CSC -> Phase II -> 4th floor -> Dennis Jenkins' office","","","","","","","",""
"","","Donated scaled SSME 35:1 ratio nozzle","2015.99.43","0","","","","","","","","","CSC -> Air and Space bldg","","","","","","","",""
"","","Human bones (showing degradation)","2015.99.44","3","","","","","","","","","CSC -> WAB -> garage -> Upjohn -> row H -> column H3 -> shelf H3.C;   CSC -> WAB -> garage -> Upjohn -> row H -> column H3 -> shelf H3.D","","","","","","","","3 parts include: (1) case with 2 large femurs [shelf H3.C], (2) case with 2 knee joints [shelf H3.C], (3) magnifying glass lens [shelf H3.D]. 
Kathy sent dimensions to EVD on 5/28/15: 
https://www.dropbox.com/sh/na85cvsyptz5j2g/AACQ6nQzNYfqKULJtR9dfIaUa?dl=0 ; 
femurs (AirSp bone dims.pdf)"
"Donations from private sources","Ranger","Ranger lunar probe","2015.99.45","1","","","CalPoly SLO","transfer","Ranger Smithsonian NASM","","2013 October 31","2014 March 8","CSC -> Air and Space bldg -> 1st floor -> open storage area","","","","Foundation","","","","Ranger is stored in 2 crates in Gehry: (1) main assembly in crate (dimensions: 9 ft x 6 ft x 6 ft) by roll-up door, (2) high-gain antenna in grey crate (5.5 ft x 3.6 ft x 5.5 ft) by Discovery Room; many parts installed on spacecraft were transferred by CalPoly SLO (see lot #transfer_ranger_SLO)"
